Combination,mean,std
12,41.51700368082869,10.81962538894092
13,30.830432590851057,6.869053938299101
14,36.020337164239955,11.071846975743906
15,65.91293884449351,51.71303485361818
23,36.93984392724058,7.236794597621857
24,29.679180979519437,6.426554649234676
25,34.68208437359858,12.089224164232203
34,27.915020426382053,6.127586803569494
35,29.55933689371185,6.7528971838076535
45,37.50233321166121,10.693249371957316
123,30.847101471092948,7.0503561873328895
124,29.734968646135503,6.890699478538414
125,31.907594815687407,7.967930136653492
134,28.620023722649485,6.422214863715826
135,29.22542218250028,6.54036204464616
145,33.51078943306398,9.6329514991362
234,27.05133044024377,5.473878866119259
235,29.083058530099688,6.697429831801905
245,28.17431739770754,6.333582438492461
345,27.648016022889067,6.206649162640254
1234,27.039017420967497,6.07800779363075
1235,27.913446508328658,6.59316859490414
1245,28.22084267393667,6.544475275669432
1345,27.74037833700031,6.341168308811116
2345,25.856848009751396,5.83701093991482
12345,26.17686738656158,6.178910988855448
